    Fribourg_Switzerland
    46.82,7.16,610,+1
	m	d	h	#sunAzimuth	sunAltitude
618	1	26	17	238.469	2.62067
619	1	26	18	249.276	-6.58901
620	1	26	19	259.678	-16.4696
621	1	26	20	270.287	-26.6832
622	1	26	21	281.928	-36.878
623	1	26	22	295.862	-46.5841
624	1	26	23	314.051	-55.011
625	1	27	0	338.704	-60.4846
626	1	27	1	8.2327	-61.6695
627	1	27	2	35.5946	-57.7947
628	1	27	3	56.4293	-50.3812
629	1	27	4	71.9874	-41.1379
630	1	27	5	84.4809	-31.0988
631	1	27	6	95.4478	-20.8462
632	1	27	7	105.873	-10.7695
633	1	27	8	116.448	-1.20488
634	1	27	9	127.711	7.4888
635	1	27	10	140.085	14.8866
636	1	27	11	153.797	20.4915
637	1	27	12	168.723	23.7952
638	1	27	13	184.28	24.423
639	1	27	14	199.589	22.2959
640	1	27	15	213.892	17.6709
641	1	27	16	226.858	11.0181
642	1	27	17	238.58	2.85223
643	1	27	18	249.405	-6.36686
644	1	27	19	259.824	-16.254
645	1	27	20	270.446	-26.4699
646	1	27	21	282.1	-36.6616
647	1	27	22	296.037	-46.3576
648	1	27	23	314.195	-54.768
649	1	28	0	338.737	-60.2234
650	1	28	1	8.0672	-61.4199
651	1	28	2	35.304	-57.5841
652	1	28	3	56.1222	-50.208
653	1	28	4	71.7031	-40.9877
654	1	28	5	84.2231	-30.9585
655	1	28	6	95.2114	-20.706
656	1	28	7	105.653	-10.622
657	1	28	8	116.242	-1.04367
658	1	28	9	127.52	7.66881
659	1	28	10	139.913	15.0891
660	1	28	11	153.656	20.7174
661	1	28	12	168.626	24.0414
662	1	28	13	184.237	24.6818
663	1	28	14	199.601	22.5574
664	1	28	15	213.949	17.9268
665	1	28	16	226.95	11.2638
666	1	28	17	238.696	3.08663
667	1	28	18	249.54	-6.14227
668	1	28	19	259.974	-16.0361
669	1	28	20	270.612	-26.2543
670	1	28	21	282.279	-36.4426
671	1	28	22	296.219	-46.1281
672	1	28	23	314.346	-54.5213
673	1	29	0	338.777	-59.9575
674	1	29	1	7.90906	-61.1644
675	1	29	2	35.0171	-57.3666
676	1	29	3	55.8155	-50.0279
677	1	29	4	71.4178	-40.8309
678	1	29	5	83.9635	-30.8119
679	1	29	6	94.9733	-20.5597
680	1	29	7	105.432	-10.4683
681	1	29	8	116.034	-0.876432
682	1	29	9	127.327	7.85487
683	1	29	10	139.741	15.2976
684	1	29	11	153.515	20.9495
685	1	29	12	168.531	24.2935
686	1	29	13	184.197	24.946
687	1	29	14	199.617	22.8236
688	1	29	15	214.012	18.1867
689	1	29	16	227.048	11.5127
690	1	29	17	238.818	3.32373
691	1	29	18	249.681	-5.91539
692	1	29	19	260.131	-15.8162
693	1	29	20	270.784	-26.0367
694	1	29	21	282.464	-36.2214
695	1	29	22	296.408	-45.8959
696	1	29	23	314.504	-54.2709
697	1	30	0	338.825	-59.6871
698	1	30	1	7.75781	-60.9029
699	1	30	2	34.734	-57.1424
700	1	30	3	55.5096	-49.841
701	1	30	4	71.1315	-40.6675
702	1	30	5	83.7025	-30.6589
703	1	30	6	94.7334	-20.4073
704	1	30	7	105.208	-10.3087
705	1	30	8	115.825	-0.703196
706	1	30	9	127.133	8.04693
707	1	30	10	139.569	15.5122
708	1	30	11	153.375	21.1874
709	1	30	12	168.437	24.5514
710	1	30	13	184.161	25.2155
711	1	30	14	199.637	23.0945
712	1	30	15	214.08	18.4505
713	1	30	16	227.151	11.7648
714	1	30	17	238.946	3.56343
715	1	30	18	249.828	-5.68629
716	1	30	19	260.294	-15.5942
717	1	30	20	270.961	-25.8171
718	1	30	21	282.655	-35.998
719	1	30	22	296.603	-45.6609
720	1	30	23	314.668	-54.0172
721	1	31	0	338.88	-59.4121
722	1	31	1	7.61368	-60.6356
723	1	31	2	34.4551	-56.9114
724	1	31	3	55.2046	-49.6472
725	1	31	4	70.8446	-40.4975
726	1	31	5	83.4402	-30.4996
727	1	31	6	94.4919	-20.2487
728	1	31	7	104.984	-10.143
729	1	31	8	115.614	-0.52403
730	1	31	9	126.938	8.24491
731	1	31	10	139.396	15.7327
732	1	31	11	153.236	21.4313
733	1	31	12	168.346	24.8149
734	1	31	13	184.127	25.4902
735	1	31	14	199.662	23.3699
736	1	31	15	214.153	18.718
737	1	31	16	227.259	12.02
738	1	31	17	239.08	3.8056
739	1	31	18	249.98	-5.45508
740	1	31	19	260.462	-15.3703
741	1	31	20	271.145	-25.5955
742	1	31	21	282.852	-35.7724
743	1	31	22	296.804	-45.4234
744	1	31	23	314.84	-53.7599
745	2	1	0	338.942	-59.1328
746	2	1	1	7.47665	-60.3627
747	2	1	2	34.1805	-56.6739
748	2	1	3	54.9008	-49.4467
749	2	1	4	70.5572	-40.321
750	2	1	5	83.1766	-30.3341
751	2	1	6	94.2491	-20.0841
752	2	1	7	104.757	-9.97143
753	2	1	8	115.403	-0.338993
754	2	1	9	126.743	8.44876
755	2	1	10	139.222	15.9591
756	2	1	11	153.097	21.681
757	2	1	12	168.256	25.084
758	2	1	13	184.098	25.7701
759	2	1	14	199.691	23.6498
760	2	1	15	214.232	18.9891
761	2	1	16	227.373	12.2781
762	2	1	17	239.219	4.05016
763	2	1	18	250.138	-5.22187
764	2	1	19	260.636	-15.1446
765	2	1	20	271.334	-25.3721
766	2	1	21	283.055	-35.5446
767	2	1	22	297.012	-45.1832
768	2	1	23	315.018	-53.4994
769	2	2	0	339.011	-58.8491
770	2	2	1	7.34692	-60.0842
771	2	2	2	33.9104	-56.4299
772	2	2	3	54.5986	-49.2395
773	2	2	4	70.2696	-40.138
774	2	2	5	82.9121	-30.1624
775	2	2	6	94.0051	-19.9135
